a433-microservices-item-app-1  | 
a433-microservices-item-db-1   | 2023-11-10T17:46:23.626+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: d9b6b2a4-7c13-4190-9a20-a5b345d84e85
a433-microservices-item-db-1   | 2023-11-10T17:46:23.642+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2023-11-10T17:46:23.643+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2023-11-10T17:46:23.643+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 300c5e62-7da4-4505-9314-5113cacfdcac
a433-microservices-item-db-1   | 2023-11-10T17:46:23.643+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-11-10T17:46:23.643+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1   | 2023-11-10T17:46:23.661+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
a433-microservices-item-db-1   | 2023-11-10T17:46:23.661+0000 I INDEX    [LogicalSessionCacheRefresh]    building index using bulk method; build may temporarily use up to 500 megabytes of RAM
a433-microservices-item-db-1   | 2023-11-10T17:46:23.662+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs        
a433-microservices-item-db-1   | 2023-11-10T17:46:25.335+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:55912 #1 (1 connection now open)        
a433-microservices-item-db-1   | 2023-11-10T17:46:25.340+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:55912 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.10.16.3-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
